Season/Age,<1 y,1 y,2 y,3 y,4 y,5-11 y,12-17y,18-49 y,50-64 y,65+ y
2011-02,0.969,1.154,1.165,1.115,0.966,1.048,0.674,0.75,0.907,0.382
2002-03,0.952,1.174,1.275,1.213,1.361,1.109,0.896,0.797,0.667,0.695
2003-04,0.927,1.213,1.345,1.338,1.57,1.591,1.381,0.794,0.778,1.056
2004-05,0.937,1.151,1.381,1.386,1.196,1.279,0.914,0.686,0.648,0.713
2005-06,0.937,1.182,1.382,1.388,1.466,1.278,0.842,0.775,0.695,0.622
2006-07,0.966,1.106,1.227,1.388,1.241,1.136,0.704,0.6,0.47,0.416
2007-08,0.962,1.154,1.25,1.323,1.262,1.047,0.843,0.523,0.523,0.453
2008-09,0.991,1.122,1.081,1.097,1.14,0.913,0.572,0.528,0.525,0.54
2009-10,0.92,1.195,1.248,1.376,1.481,1.525,1.032,0.832,0.734,0.614
2010-11,0.992,1.091,1.148,1.343,1.273,1.124,0.747,0.555,0.565,0.361
2011-12,0.932,1.208,1.273,1.279,1.322,1.158,0.708,0.918,0.655,0.63
